14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Légkondicionáló;7;18;18;16;12;15;7;15;11;10;10;7;7;7;10;5
Nagyértékû riasztóberendezés;2;8;12;8;7;8;4;5;7;5;5;4;5;4;5;4
Motorkerékpár;1;10;11;10;13;9;3;5;4;12;5;3;6;0;4;1
Személygépkocsi;52;110;117;104;117;106;31;80;71;115;60;31;46;21;42;20
Ebbõl:;;;;;;;;;;;;;;;;
saját;52;101;108;98;111;98;30;76;70;112;58;30;44;21;40;20
2020;;;;;;;;;;;;;;;;
Hûtõszekrény;20;26;23;34;42;28;36;25;35;39;34;36;38;34;33;38
Fagyasztógép;26;43;42;55;66;45;30;43;58;69;43;30;25;33;22;38
Hûtõ- és fagyasztógép;84;80;81;73;71;79;66;81;75;74;72;66;62;69;67;66
Mikrohullámú sütõ;92;94;96;91;102;95;89;95;95;98;92;89;88;90;88;91
Mosogatógép;23;38;49;43;33;39;14;33;24;33;22;14;15;12;17;9
Mosógép;99;101;98;99;101;100;96;99;98;102;98;96;94;98;94;99
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;89;93;91;86;85;90;87;93;91;93;90;87;83;90;85;89
Mosógép szárítóval;6;7;5;7;10;7;3;3;4;5;3;3;3;3;3;2
Szárítógép;3;12;18;17;11;13;2;5;3;10;4;2;1;2;2;1
Televízió, színes;154;171;177;192;244;184;120;155;171;214;149;120;116;122;113;128
Ebbõl:;;;;;;;;;;;;;;;;
